Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
Saquon Barkley,PHI,RB,27,16,16,0,0,0,0,0,345,2005,5.81,13,43,33,278,8.42,2,2,1,15,3,0,322,355.3,362.3,338.8,163,1,1,2024
Derrick Henry,BAL,RB,30,17,17,0,0,0,0,0,325,1921,5.91,16,22,19,193,10.16,2,3,1,18,0,0,317,336.4,343.4,326.9,159,2,2,2024
Jahmyr Gibbs,DET,RB,22,17,4,0,0,0,0,0,250,1412,5.65,16,63,52,517,9.94,4,1,1,20,0,0,311,362.9,369.9,336.9,153,3,3,2024
Lamar Jackson,BAL,QB,27,17,17,316,474,4172,41,4,139,915,6.58,4,0,0,0,0,0,10,5,4,1,0,430,430.4,445.4,434.4,140,1,4,2024
Ja'Marr Chase,CIN,WR,24,17,16,0,0,0,0,0,3,32,10.67,0,175,127,1708,13.45,17,0,0,17,0,0,276,403.0,406.0,339.5,138,1,5,2024
Bijan Robinson,ATL,RB,22,17,17,0,0,0,0,0,304,1456,4.79,14,72,61,431,7.07,1,1,0,15,1,0,281,341.7,347.7,311.2,124,4,6,2024
Josh Jacobs,GNB,RB,26,17,17,0,0,0,0,0,301,1329,4.42,15,43,36,342,9.50,1,4,3,16,0,0,257,293.1,302.1,275.1,102,5,7,2024
Josh Allen,BUF,QB,28,17,17,307,483,3731,28,6,102,531,5.21,12,0,0,7,0,1,5,2,13,0,1,379,379.0,393.0,385.0,91,2,8,2024
Joe Burrow,CIN,QB,28,17,17,460,652,4918,43,9,42,201,4.79,2,0,0,0,0,0,11,5,2,0,0,373,372.8,392.8,381.8,85,3,9,2024
Kyren Williams,LAR,RB,24,16,16,0,0,0,0,0,316,1299,4.11,14,40,34,182,5.35,2,5,3,16,0,0,238,272.1,281.1,255.1,84,6,10,2024
James Cook,BUF,RB,25,16,16,0,0,0,0,0,207,1009,4.87,16,38,32,258,8.06,2,1,0,18,0,0,235,266.7,272.7,250.7,81,7,11,2024
